experiment_id,convention,documented,implemented,tested,mismatch,evidence,block_scope,claim_boundary
KDD094,public_OPE_CONTRACT,missing,internal_modules_only,release_file_presence_test_added,yes,release/OPE_CONTRACT.md absent,public OPE contract and all claims attributed to it,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,target_policy_registry,missing,KDD071 policy builder plus KDD079 baseline catalog,KDD078 policy ID reconstruction only,yes,public TARGET_POLICY_REGISTRY.csv absent; KDD078 probability_surface_match_to_kdd071 not verifiable,KDD078 target-policy-specific OPE attribution,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,task_attribution,aggregate task_id/card_id columns,ReplayData task spec propagated to OPE/FQE rows,aggregate five-task row checks,no,kdd078_evaluation.py; kdd079_suite.py; KDD078/KDD079 CSV task columns,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,initial_state_population,not in public OPE contract,linear FQE uses test step==0; neural FQE uses first test row after terminal/split boundary,synthetic initial-state equivalence test added,no,kdd071_fqe.py:_fit_seed; kdd079_fqe.py:_initial_test_rows,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,transition_horizon_17,manuscript 18 bins and KDD078 horizons,ReplayData has values.shape[1]-1 transitions; HORIZONS ends at 17,existing and KDD094 synthetic shape tests,no,kdd071_data.py; kdd078_contract.py,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,discount_gamma_0p99,KDD078/KDD079 aggregate contract,"OPE, reward weighting, linear FQE, neural FQE use 0.99",existing synthetic OPE tests,no,kdd078_evaluation.py; kdd071_policies.py; kdd071_fqe.py; kdd079_fqe.py,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,termination_and_censoring,task cards define fixed full episodes; no public OPE detail,done is final transition only; no separate censoring model,synthetic terminal-mask test added,yes,kdd071_data.py done=step==steps-1,claims requiring censoring-aware OPE,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,reward_timing,manuscript components only,transition reward; terminal mortality at final transition,synthetic terminal reward timing test added,no,kdd071_data.py:reward_sequences,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,reward_scalarization,manuscript says components precede scalar combination,terminal_only; intermediate; terminal+0.25*intermediate,source constant and synthetic timing test,no,kdd071_data.py REWARD_DEFINITIONS/reward_sequences,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,behavior_model_features,manuscript values/masks/recency/treatment history,"train-standardized random projection of values, masks, log1p deltas, previous action, normalized time",feature construction tests inherited,yes,kdd071_data.py:context_features/build_replay_data,claims implying direct clinical-state kNN distance rather than fixed projected latent,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,knn_k64_smoothing,not in public OPE contract,k=64; Euclidean projected latent; additive smoothing=1,behavior config/source tests,no,kdd071_behavior.py BehaviorConfig/_knn_probabilities,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,neural_behavior_calibration,manuscript validation-only temperature scaling,train-only MLP; validation grid temperature scaling,existing behavior tests and aggregate quality tables,no,kdd071_behavior.py:fit_nn_behavior/fit_temperature,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,target_policy_stochasticity,not in public registry,learned soft policies; deterministic controls use epsilon=0.001,probability normalization tests inherited,yes,kdd071_policies.py:_deterministic_policy,claims treating naive target policies as exactly deterministic,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,target_policy_freeze,manuscript says held fixed,KDD078 reconstructs IDs/config/seeds; exact prior probability surfaces unavailable; KDD079 fits its own frozen rows,policy ID reconstruction audit,yes,KDD078 frozen_policy_reconstruction_audit.csv,KDD078 policy-specific values until exact probability provenance is available,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,WIS_equation,manuscript names WIS,self-normalized trajectory IS on discounted return,synthetic known-value test added/existing self-policy tests,no,kdd078_ess.py:evaluate_ope_at_horizon,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,WPDIS_equation,manuscript names WPDIS,per-decision self-normalized cumulative-ratio estimator,synthetic known-value test added/existing tests,no,kdd078_ess.py:evaluate_ope_at_horizon,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,CWPDIS_equation,manuscript claims evaluation policies held fixed across CWPDIS,not implemented or exported by KDD078/KDD079,absence test added,yes,KDD078/KDD079 OPE tables contain WIS/WPDIS only,manuscript CWPDIS availability statement,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,denominator_floor,not in public OPE contract,"selected behavior probability clipped to [1e-12,1]",synthetic finite-ratio floor test added,no,kdd078_ess.py:selected_importance_ratios,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,ratio_clipping,aggregate rows expose thresholds,unclipped plus 1/2/5/10/20/50; requested core 1/2/5/10 present,existing clipping tests and aggregate row checks,no,kdd078_contract.py CLIP_THRESHOLDS,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
KDD094,terminal_ESS,manuscript names ESS,ESS of cumulative trajectory weight at each reported horizon,self-policy and scale invariance tests,no,kdd078_ess.py:effective_sample_size/evaluate_ope_at_horizon,none,"Frozen code-to-document and synthetic convention audit only. No real-EHR policy rerun, policy search, treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, or autonomous-decision claim."
