category,source,identity,status
release,current_five_task/runtime_config.json,MIMIC-IV_3.1,source_closed
required_tables,current_five_task/contracts.py,TABLES_relative_paths_required_columns_unique_keys,source_closed
temporal,current_five_task/runtime_config.json,4h_24h_pre_48h_post_72h_18bins_96h_raw,source_closed
lineage_router,current_five_task/runtime_config.json,five_retained_tasks_only,source_closed
roles,current_five_task/runtime_config.json,large_hash_and_compact_arithmetic_roles,source_closed
features,current_five_task/contracts.py,FEATURE_NAMES_SAFE_FEATURE_INDICES_SAFE_FEATURE_NAMES,source_closed
units_ranges_priority,current_five_task/contracts.py_and_authoritative_semantics.py,chart_lab_unit_cleaning_and_source_priority,source_closed
actions,current_five_task/contracts.py,ITEMIDs_regexes_overlap_and_train_only_cutpoints,source_closed
anchors,current_five_task/reconstruct.py,suspected_infection_respiratory_shock_AKI_HF,source_closed
rewards,current_five_task/contracts.py,post_action_dense_and_terminal_once,source_closed
termination,current_five_task/contracts.py_and_reconstruct.py,stay_bounded_final_transition,source_closed
sorting,current_five_task/runtime_config.json,stable,source_closed
numeric_precision,current_five_task/runtime_config.json,rtol_1e-12_atol_1e-12,source_closed
runtime_input,current_five_task/reconstruct.py,mimiciv_root_CLI_only,source_closed
aggregate_schema,schemas/credentialed_aggregate_receipt.schema.json,Draft_2020_12_additionalProperties_false,source_closed
