capability_or_limit,evidence,status,authorized_public_language,synchronization_status
observable_history_policy_entrants,KDD215R_and_KDD216R,complete_bounded,Arbitrary observable-history policy entrants can be evaluated under the released bounded workflow,not_applied_due_to_upstream_stop
constructed_environment_count,KDD216R,complete,Forty public constructed development environments,not_applied_due_to_upstream_stop
repeated_ope_dataset_count,KDD216R,complete,Three hundred twenty nested repeated-OPE development datasets,not_applied_due_to_upstream_stop
hidden_final_service,KDD216R,structural_absence,All mechanisms and seeds are public development assets and no hidden final service exists,not_applied_due_to_upstream_stop
component_entrant,KDD215R_and_KDD216R,one_step_only,Component entrants receive one-step transition scoring unless a complete P/R/T entrant independently passes,not_applied_due_to_upstream_stop
historical_kdd199_behavior_cloning_regeneration,KDD215R_and_KDD216R,unavailable,Historical KDD199 behavior-cloning regeneration is unavailable,retained
persistence_prt_h4_regeneration,KDD215R_and_KDD216R,unavailable,Persistence P/R/T plus H4 regeneration is unavailable,retained
history_true_model_reference_regeneration,KDD215R_and_KDD216R,unavailable,History-only true-model reference regeneration is unavailable,retained
credentialed_reconstruction,KDD217BR,externally_blocked,independent_credentialed_reconstruction_pending,not_applied_due_to_upstream_stop
family_superiority,KDD218B,not_estimable,No model-based-versus-model-free family superiority claim is authorized,retained
