baseline_id,baseline_family,implementation_source,source_revision,fidelity_label,run_status,policy_probability_adapter,notes,claim_boundary
d3rlpy_discrete_bc,DiscreteBC,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_nfq,NFQ,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_dqn,DQN,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_double_dqn,DoubleDQN,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_discrete_bcq,DiscreteBCQ,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_discrete_cql,DiscreteCQL,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_discrete_decision_transformer,DiscreteDecisionTransformer,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
d3rlpy_discrete_sac,DiscreteSAC_algorithmic_reference,https://github.com/takuseno/d3rlpy,v2.8.1;git_tag_commit=4e7bba7a4c896e5e9f36774dce386f887841bb90,library_reference,scheduled_if_dependency_available,native categorical probabilities where exposed; otherwise documented epsilon-soft greedy adapter,validation-only two-point learning-rate selection with fixed update budget,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
author_discrete_bcq_spotcheck,author_code_discrete_BCQ,https://github.com/sfujim/BCQ,4876f7e5afa9eb2981feec5daf67202514477518,official_code_adapted_contract,scheduled_if_source_checkout_available,author greedy action with documented eval-epsilon surface,author network and loss; frozen KDD replay adapter replaces Atari/Box2D loader,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
spibb,Pi_b_SPIBB,world-ehr:kdd079_policies.py,KDD079_independent_reimplementation;paper_reference_repo=RomainLaroche/SPIBB@833f32b,independent_paper_spec_reimplementation,scheduled_local_reimplementation,train-only latent clustering followed by an independent Pi_b-SPIBB update,independent paper-spec reimplementation on discretized KDD latent state,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
soft_spibb,Approx_Soft_SPIBB,world-ehr:kdd079_policies.py,KDD079_concept_adapter;paper_reference_repo=RomainLaroche/SPIBB@833f32b,conceptual_adapter_not_exact,scheduled_local_conceptual_adapter,train-only latent clustering followed by bounded probability transfer,diagnostic Soft-SPIBB concept adapter; not the official error-weighted epsilon update,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
reassessdtr_naive_controls,ReassessDTR_naive_family,world-ehr:kdd079_fit.py,KDD079_alias_adapter;paper_reference_repo=GilesLuo/ReassessDTR@25003b9,conceptual_adapter_not_exact,mapped_to_local_naive_controls,fixed stochastic policy surfaces,preserves KDD contract but does not reuse the source preprocessing or Tianshou stack,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
reassessdtr_supervised,ReassessDTR_supervised_family,world-ehr:kdd079_fit.py,KDD079_alias_adapter;paper_reference_repo=GilesLuo/ReassessDTR@25003b9,conceptual_adapter_not_exact,mapped_to_d3rlpy_discrete_bc,same fitted DiscreteBC probability surface,"conceptual task-contract adapter, never described as reproduced or official","Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
reassessdtr_value_learning,ReassessDTR_value_learning_family,world-ehr:kdd079_fit.py,KDD079_alias_adapter;paper_reference_repo=GilesLuo/ReassessDTR@25003b9,conceptual_adapter_not_exact,mapped_to_d3rlpy_nfq,same fitted NFQ epsilon-soft probability surface,"conceptual task-contract adapter, never described as reproduced or official","Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
local_bcq,local_discrete_BCQ,world-ehr:kdd071_qlearning.py,KDD071_frozen_local_implementation,independent_paper_spec_reimplementation,scheduled,epsilon-soft greedy support-constrained Q surface,"independent local implementation, not author code","Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
local_cql,local_discrete_CQL,world-ehr:kdd071_qlearning.py,KDD071_frozen_local_implementation,independent_paper_spec_reimplementation,scheduled,epsilon-soft greedy Q surface,"independent local implementation, not d3rlpy","Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
local_dqn,local_fitted_Q_DQN,world-ehr:kdd071_qlearning.py,KDD071_frozen_local_implementation,independent_paper_spec_reimplementation,scheduled,epsilon-soft greedy Q surface,"independent local implementation, not a library reference","Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
local_naive_controls,behavior_random_min_max_fixed,world-ehr:kdd071_policies.py,KDD071_frozen_local_controls,local_benchmark_control,scheduled,fixed or behavior-derived stochastic surfaces,benchmark sanity controls,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
public_factored_action,public_factored_action_method,no_named_maintained_public_implementation_in_KDD079_request,not_applicable,not_feasible_from_public_spec,not_feasible_method_unspecified_for_factorized_AKI,factorized heads only,"AKI is explicitly factorized, but no defensible maintained public method was identified; flat joint-action rows are separate stress tests","Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
