task,model_family,ehr_recursive_error_rank_lower_is_better,known_value_regret_rank_lower_is_better,within_task_spearman_rank_concordance,contract_alignment,primary_bridge_eligible,analysis_label,claim_boundary
aki,dreamer_v3_categorical_rssm,3,2,0.4,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,gaussian_recurrent_ensemble,1,1,0.4,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,grud_world_model,2,4,0.4,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,transformer_world_model,4,3,0.4,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,dreamer_v3_categorical_rssm,3,4,-0.4,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,gaussian_recurrent_ensemble,1,3,-0.4,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,grud_world_model,2,2,-0.4,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,transformer_world_model,4,1,-0.4,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,dreamer_v3_categorical_rssm,3,1,-0.4,aligned_action_dimension_and_decision_horizon,True,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,gaussian_recurrent_ensemble,1,4,-0.4,aligned_action_dimension_and_decision_horizon,True,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
