environment,task,response_regime,horizon,estimator,denominator_contract,clipping_contract,support_contract,independent_logged_datasets,minimum_policy_empirical_coverage,minimum_policy_coverage_ci_low,coverage_gate,rank_gate,pairwise_gate,sign_gate,false_improvement_probability,false_improvement_gate,median_ess,ess_gate,support_gate,finite_gate,approved_known_value_tuple,retrospective_ehr_ope_authorized,authorization_boundary
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,crossfit_stronger,20,masked,500,0.936,0.9110475912,True,True,True,False,0.0,True,100.5199301,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,crossfit_stronger,none,masked,500,0.936,0.9110475912,True,True,True,False,0.0,True,100.5082291,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,exact_behavior,20,masked,500,0.928,0.901931596,True,True,True,False,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,exact_behavior,none,masked,500,0.928,0.901931596,True,True,True,False,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,misspecified_behavior,20,masked,500,0.922,0.8951464501,True,True,True,False,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,misspecified_behavior,none,masked,500,0.922,0.8951464501,True,True,True,False,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,paper_lstm_h16,20,masked,500,0.92,0.8928936834,True,True,True,False,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,paper_lstm_h16,none,masked,500,0.92,0.8928936834,True,True,True,False,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,crossfit_stronger,20,masked,500,0.9,0.8705780904,True,False,False,False,0.0,True,100.5199301,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,crossfit_stronger,none,masked,500,0.9,0.8705780904,True,False,False,False,0.0,True,100.5082291,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,exact_behavior,20,masked,500,0.906,0.8772354441,True,True,True,False,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,exact_behavior,none,masked,500,0.906,0.8772354441,True,True,True,False,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,misspecified_behavior,20,masked,500,0.216,0.1821677449,False,True,True,True,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,misspecified_behavior,none,masked,500,0.216,0.1821677449,False,True,True,True,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,paper_lstm_h16,20,masked,500,0.078,0.05758139348,False,True,True,True,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,paper_lstm_h16,none,masked,500,0.078,0.05758139348,False,True,True,True,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,crossfit_stronger,20,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,100.5199301,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,crossfit_stronger,none,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,100.5082291,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,exact_behavior,20,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,exact_behavior,none,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,misspecified_behavior,20,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,misspecified_behavior,none,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,paper_lstm_h16,20,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,paper_lstm_h16,none,masked,500,0.0,4.33680869e-19,False,True,True,True,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,crossfit_stronger,20,masked,500,0.816,0.7796708962,False,False,False,False,0.0,True,100.5199301,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,crossfit_stronger,none,masked,500,0.816,0.7796708962,False,False,False,False,0.0,True,100.5082291,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,exact_behavior,20,masked,500,0.922,0.8951464501,True,True,True,False,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,exact_behavior,none,masked,500,0.922,0.8951464501,True,True,True,False,0.0,True,107.636706,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,misspecified_behavior,20,masked,500,0.176,0.1451264013,False,True,True,True,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,misspecified_behavior,none,masked,500,0.176,0.1451264013,False,True,True,True,0.0,True,115.6676561,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,paper_lstm_h16,20,masked,500,0.024,0.01378131466,False,True,True,True,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,paper_lstm_h16,none,masked,500,0.024,0.01378131466,False,True,True,True,0.0,True,117.2649554,True,True,True,False,False,Passing exact known-value tuples calibrates an estimator/task-regime map but does not authorize retrospective real-EHR OPE without separate trained-policy and overlap gates.
