ehr_task,known_value_task,property,value,provenance_class,interpretation,contract_alignment,primary_bridge_eligible,source_artifact,claim_boundary
respiratory,respiratory,action_count,25,ehr_aggregate,Frozen retrospective action contract cardinality,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,supported_action_count,12,ehr_aggregate,Train-frozen supported action classes,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,decision_horizon,11,ehr_aggregate_contract,Nominal repeated-decision horizon,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,missingness_rate,0.006316,ehr_aggregate,Aggregate observation missingness rate only,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,termination_prevalence,0.187279,ehr_aggregate,Aggregate terminal prevalence only,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,behavior_top_action_share,0.2810362343379614,ehr_aggregate,Aggregate action-count concentration,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,reward_scale,1.0,synthetic_normalization,Unit synthetic reward-scale convention,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,reward_sparsity,mixed_dense_terminal,synthetic_contract_specification,Mixed dense-terminal synthetic reward design,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,state_count,49,synthetic_finite_design,Finite severity/subtype/momentum/observation layout,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,response_components,low_state_harm;high_state_insufficient_action;intermediate_optimum;toxicity;delayed_benefit;subtype_heterogeneity;switch_cost;terminal_dense_tradeoff;partial_subtype_observation,synthetic_known_mechanism,Action-response and toxicity mechanisms known by construction,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
