surface,old_public_behavior,authoritative_behavior,kdd220ar5_change,status
sepsis_source,reduced antibiotic-culture approximation,E060 blood-culture suspected-infection manifest followed by SOFA>=2,ported blood specimen grouping matching and SOFA gate,pass
sepsis_anchor,required onset inside ICU,E060 window_overlaps_stay,uses -24/+48 window-overlap eligibility,pass
sepsis_sofa,moved anchor to proxy-SOFA increase,E060 max observed SOFA>=2 and preserves suspected-infection onset,removed anchor shift and applied exact filter,pass
heart_failure,required prior HF diagnosis,nonsepsis adult ICU >=24h with current-stay diuretic or vasodilator anchor,removed diagnosis gate and retained current-stay event gate,pass
base_eligibility,global gender discharge and hospice exclusions,compact adult-only and large E060/KDD121 eligibility with no hospice exclusion,split task-specific stay eligibility,pass
roles,one base role then compact override,large SHA256 role and compact arithmetic role with historical_other scope,explicit task-lineage role assignment preserved,pass
respiratory_action,SAFE FiO2 feature mask used as action observation proxy,recorded PEEP and recorded FiO2 action arrays and masks,dedicated FiO2 action value and observation arrays,pass
target_validity,no common pre-aggregate SAFE target-observation filter,KDD121/KDD152 retain target when any SAFE feature is observed,added exact target-observed transition filter,pass
interval_exposure,generic overlap-bin helper,KDD097 presence and max-exposure allocation includes source-defined end bin,ported KDD097 interval bin rule,pass
kdd201_filter,extra historical first_current_icu_diuretic label in disposition set,only named KDD200 disposition-3 anchor sources remove relative_transition zero,removed extra source and retained named set,pass
historical_receipts,immutable prior releases,immutable prior releases,no prior release file changed,pass
