benchmark_version,task_id,reward_name,definition,availability,claim_boundary
KDD2027-E060-4H-v1.0.0+KDD089,sepsis_original25_reference,terminal_only,final transition receives +1 survival or -1 90d mortality,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,sepsis_original25_reference,intermediate_physiology,SOFA/lactate/MAP/urine-output change,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,sepsis_original25_reference,terminal_plus_intermediate,terminal + 0.25 * clipped intermediate physiology,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,af_rate_rhythm_k25,terminal_only,final transition receives +1 survival or -1 90d mortality,unavailable,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,af_rate_rhythm_k25,intermediate_physiology,not frozen,unavailable,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,ami_fluid_vasopressor_k25,terminal_only,final transition receives +1 survival or -1 90d mortality,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,ami_fluid_vasopressor_k25,intermediate_physiology,MAP/lactate/creatinine/urine-output change,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,ami_fluid_vasopressor_k25,terminal_plus_intermediate,terminal + 0.25 * clipped intermediate physiology,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,respiratory_peep_fio2_observed_k25,terminal_only,final transition receives +1 survival or -1 90d mortality,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,respiratory_peep_fio2_observed_k25,intermediate_physiology,SpO2/PaO2-FiO2 change,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,respiratory_peep_fio2_observed_k25,terminal_plus_intermediate,terminal + 0.25 * clipped intermediate physiology,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,shock_fluid_vasopressor_k25,terminal_only,final transition receives +1 survival or -1 90d mortality,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
KDD2027-E060-4H-v1.0.0+KDD089,shock_fluid_vasopressor_k25,intermediate_physiology,MAP/lactate/urine-output/shock-index change,available,"Benchmark construction and recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims are blocked."
