experiment_id,task_id,cohort_id,unresolved_construct_validity,status,claim_boundary
KDD092,af_rate_rhythm_k25,af_flutter_rate_control,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,af_rate_rhythm_k25,af_flutter_rate_control,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,af_rate_rhythm_k25,af_flutter_rate_control,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,af_rate_rhythm_k25,af_flutter_rate_control,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,af_rate_rhythm_k25,af_flutter_rate_control,No frozen reward or OPE surface is available; the card is transition-only and rhythm/rate medication indication is not adjudicated.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,af_rate_rhythm_k25,af_flutter_rate_control,At least one reward component is unavailable; no missing reward is inferred or scalarized.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,aki_no_rich_action_exclusion,aki_diuretic_fluid_balance,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,aki_no_rich_action_exclusion,aki_diuretic_fluid_balance,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,aki_no_rich_action_exclusion,aki_diuretic_fluid_balance,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,aki_no_rich_action_exclusion,aki_diuretic_fluid_balance,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,aki_no_rich_action_exclusion,aki_diuretic_fluid_balance,Fewer than two repeated action families passed; RRT is few-step and the released task is a no-rich-action exclusion.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,aki_no_rich_action_exclusion,aki_diuretic_fluid_balance,At least one reward component is unavailable; no missing reward is inferred or scalarized.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,ami_fluid_vasopressor_k25,acute_myocardial_infarction_hemodynamic_support,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,ami_fluid_vasopressor_k25,acute_myocardial_infarction_hemodynamic_support,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,ami_fluid_vasopressor_k25,acute_myocardial_infarction_hemodynamic_support,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,ami_fluid_vasopressor_k25,acute_myocardial_infarction_hemodynamic_support,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,ami_fluid_vasopressor_k25,acute_myocardial_infarction_hemodynamic_support,Action support is behavior-denominator sensitive and the AMI/hemodynamic phenotype remains an aggregate structured proxy.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,hf_no_rich_action_exclusion,hf_diuretic_decongestion,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
